Instruction,Output
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 60-mW optical power was achieved from a 120-mm-wide and 1.875-mm-long laser operating in cw mode at a threshold current density of 600 A/cm2 and a temperature of 25K.",60 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We conducted a successful experiment with a terahertz quantum-cascade laser that functions up to 200 K in pulsed mode and 100 K in continuous wave mode at approximately 2.5 THz.",2.5 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our team has successfully achieved threshold current densities of 1 kA/cm2 and peak optical powers of 5 mW, surpassing our initial expectations.",5 Mw
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study shows that the highest-performing 2.3-mm-long device operating at 3.97 THz has a low threshold current density of 350 A/cm2 at 11 K.",3.97 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A design scheme involving scattering-assisted injection and resonant-phonon depopulation was employed in the demonstration of a 2.1 THz quantum cascade laser (QCL).	",resonant-phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our laser system is built upon a GaAs/Al0.15Ga0.85 As heterostructure, which closely resembles the structure presented in Ref. [6], with a slight alteration of approximately 2% in the thicknesses of all layers.		",GaAs/Al0.15Ga0.85 As 
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In our evaluation of three GaAs/AlAs heterostructure-based lasers with target frequencies of 3.36 and 3.92 THz, we observed a displacement towards higher frequencies from the wafer's core to its outer regions.		",3.36 and 3.92 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The construction of our laser is based on the GaAs/Al0.15Ga0.85 As heterostructure, mirroring that found in Ref. [6], except for a minor 2% expansion in the thicknesses of each layer. 		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A record-setting 10.9 THz quantum cascade laser has been achieved through the implementation of an advanced scattering-assisted injection and resonant-phonon depopulation approach.",10.9 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 35 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 210K for the devices with Cu waveguide.",LO-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our research suggests that direct LO-phonon-based depopulation is a viable approach for achieving quantum cascade lasers at long-wavelength THz frequencies, with an ideal operating temperature of -50 degrees Celsius and a duty cycle of 0.5.",LO-phonon
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:This advanced technology can maintain a lasing frequency of 5.29 THz at a temperature of 130K.",5.29 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: This technique, known as the resonant LO phonon scheme, involves the utilization of both resonant tunneling through the collector barrier and fast scattering of longitudinal-optical (LO) phonons into level 1, with subsequent reinjection into the next module.",(LO) phonons
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: This is the so-called resonant LO phonon strategy, involving the simultaneous processes of resonant tunneling across the collector barrier and rapid scattering of longitudinal-optical (LO) phonons to level 1, followed by their reinjection into the next component.		",LO phonon
